project,year,code_klloc_sum,effective_klloc_sum,code_klloc_median,effective_klloc_median,code_klloc_mean,effective_klloc_mean,issues_created,issues_fixed
commons-jexl,2013,79.062,79.062,8.757,8.757,8.784666666666666,8.784666666666666,2,4
commons-jexl,2014,55.787,55.787,9.4235,9.4235,9.297833333333333,9.297833333333333,3,2
commons-jexl,2015,1041.77,1041.77,10.913,10.913,10.522929292929293,10.522929292929293,21,11
commons-jexl,2016,691.4250000000001,691.4250000000001,11.264,11.264,11.152016129032258,11.152016129032258,19,17
commons-jexl,2017,928.3139999999999,928.3139999999999,11.418,11.418,11.460666666666665,11.460666666666665,10,6
commons-lang,2003,6010.931,0.0,11.814,,11.649091085271317,,64,2
commons-lang,2004,3632.6149999999993,0.0,13.546,,13.504144981412637,,36,0
commons-lang,2005,4232.7970000000005,0.0,15.379999999999999,,15.56175367647059,,33,1
commons-lang,2006,4016.9550000000004,576.1219999999998,17.507,16.955,17.465021739130435,16.94476470588235,32,22
commons-lang,2007,3361.804,3209.8419999999996,17.796,16.979,18.074215053763442,17.25721505376344,32,19
commons-lang,2008,2771.1039999999994,2652.639,18.968,18.151,19.111062068965513,18.29406206896552,32,18
commons-lang,2009,7214.169,6891.454,18.199,17.382,18.263718987341772,17.44671898734177,23,20
commons-lang,2010,6192.442999999999,5871.2080000000005,18.57,17.753,18.708287009063444,17.900024390243903,39,27
commons-lang,2011,12445.385999999999,12432.313999999998,18.973,18.9675,19.20584259259259,19.18566975308642,43,36
commons-lang,2012,4277.863000000001,4277.863000000001,20.399,20.399,20.66600483091788,20.66600483091788,39,24
commons-lang,2013,5327.361999999999,5327.361999999999,22.326,22.326,22.10523651452282,22.10523651452282,32,19
commons-lang,2014,8816.369,8816.369,23.5,23.5,23.323727513227514,23.323727513227514,56,33
commons-lang,2015,4606.033000000001,4606.033000000001,24.277,24.277,24.500175531914902,24.500175531914902,51,23
