project,year,code_klloc,effective_klloc,issues_created,issues_fixed
commons-collections,2010,21.382724489795923,21.382724489795923,11,4
commons-collections,2011,21.597129032258064,21.597129032258064,14,7
commons-collections,2012,23.168267379679147,23.168267379679147,31,22
commons-collections,2013,24.151490721649488,24.151490721649488,25,24
commons-collections,2014,25.037689655172407,25.037689655172407,19,10
commons-collections,2015,26.824967948717948,26.824967948717948,20,14
commons-collections,2016,28.471695652173914,28.471695652173914,10,2
commons-collections,2017,28.546103896103887,28.546103896103887,11,6
commons-compress,2010,8.122452554744527,8.122452554744527,14,17
commons-compress,2011,10.04831221719457,10.04831221719457,26,14
commons-compress,2012,11.99826277372263,11.99826277372263,26,16
commons-compress,2013,14.916391156462584,14.916391156462584,24,21
commons-compress,2014,17.579844086021502,17.579844086021502,26,24
commons-compress,2015,18.565993464052287,18.565993464052287,20,15
commons-compress,2016,19.721333333333334,19.721333333333334,25,21
commons-compress,2017,22.093689320388354,22.093689320388354,26,19
commons-configuration,2007,15.13569587628866,15.103959302325581,40,34
commons-configuration,2008,16.66556989247312,16.557569892473115,33,25
commons-configuration,2009,19.221028985507246,19.11302898550725,25,13
commons-configuration,2010,20.17568852459017,20.067688524590157,24,13
commons-configuration,2011,19.29016199376947,19.2457507788162,28,12
commons-configuration,2012,19.897737704918033,19.897737704918033,27,15
commons-configuration,2013,22.179692874692872,22.179692874692872,22,10
commons-configuration,2014,26.00994573643411,26.00994573643411,13,8
commons-configuration,2015,26.684044303797478,26.684044303797478,14,8
commons-configuration,2016,27.008645454545462,27.008645454545462,23,17
commons-configuration,2017,27.522255102040813,27.522255102040813,12,5
commons-dbcp,2007,7.045988505747127,7.0380769230769245,29,13
commons-dbcp,2008,7.4145714285714295,7.186571428571427,19,7
commons-dbcp,2009,9.763988142292488,9.535988142292492,21,21
commons-dbcp,2010,9.951858585858584,9.723858585858586,29,9
commons-dbcp,2011,10.204912280701755,9.999824561403507,17,7
commons-dbcp,2012,10.239833333333333,10.039833333333332,14,1
commons-dbcp,2013,10.332375,10.131589285714286,10,5
commons-dbcp,2014,10.860601626016258,10.657357723577237,16,25
commons-dbcp,2015,11.40001,11.196589999999999,17,13
commons-dbcp,2016,11.48351020408163,11.280510204081633,17,10
commons-dbcp,2017,11.798709677419353,11.595709677419357,2,0
commons-digester,2008,6.883189473684207,5.422189473684211,8,5
commons-digester,2009,6.896,5.4350000000000005,3,0
commons-digester,2010,8.003396396396397,6.542396396396397,5,0
commons-digester,2011,11.674239215686272,9.486101960784314,8,9
commons-digester,2012,12.195249999999998,12.006632911392403,10,10
commons-digester,2013,12.125571428571428,12.125571428571428,2,1
commons-digester,2014,12.142000000000001,12.142000000000001,1,0
commons-digester,2015,12.142,12.142,2,0
commons-digester,2016,12.142,12.142,1,0
commons-digester,2017,12.138928571428574,12.138928571428574,0,0
commons-imaging,2013,32.32602928870293,32.32602928870293,16,12
commons-imaging,2014,30.74735897435896,30.74735897435896,15,5
commons-imaging,2015,30.955,30.955,14,4
commons-imaging,2016,31.293532110091743,31.293532110091743,16,9
commons-imaging,2017,31.379279069767442,31.379279069767442,8,3
commons-io,2007,4.529808988764045,4.529808988764045,14,6
commons-io,2008,5.451798507462686,5.451798507462686,13,10
commons-io,2009,6.6075185185185195,6.6075185185185195,17,3
commons-io,2010,7.325875502008032,7.325875502008032,14,27
commons-io,2011,8.061536842105264,8.061536842105264,15,8
commons-io,2012,8.69643109540636,8.69643109540636,29,24
commons-io,2013,9.008072463768116,9.008072463768116,24,17
commons-io,2014,9.282714285714283,9.282714285714283,21,5
commons-io,2015,9.666642857142856,9.666642857142856,18,6
commons-io,2016,9.867619718309857,9.867619718309857,16,6
commons-io,2017,10.003058823529411,10.003058823529411,22,4
commons-jcs,2005,24.453090000000003,,0,1
commons-jcs,2006,25.832714285714285,,10,7
commons-jcs,2007,28.67010714285714,,17,5
commons-jcs,2008,30.620111111111115,,6,5
commons-jcs,2009,34.21721568627451,,10,5
commons-jcs,2011,35.52548979591837,28.094288888888887,2,6
commons-jcs,2012,35.75864516129032,28.347645161290316,12,5
commons-jcs,2013,35.91712121212121,28.50612121212121,5,6
commons-jcs,2014,38.5392457337884,30.82744027303754,15,10
commons-jcs,2015,40.6357032967033,32.70670329670329,14,14
commons-jcs,2016,40.045639175257726,32.11663917525774,11,10
commons-jcs,2017,39.2759,31.346900000000005,13,7
commons-jexl,2007,7.630529411764707,7.867,4,1
